ID,Description
COG1112,Superfamily I DNA and RNA helicases and helicase subunits
COG1113,amino acid transport
COG1114,Component of the transport system for branched-chain amino acids
COG1115,amino acid carrier protein
COG1116,anion transmembrane transporter activity
COG1117,ATPase-coupled phosphate ion transmembrane transporter activity
COG1118,Part of the ABC transporter complex CysAWTP involved in sulfate thiosulfate import. Responsible for energy coupling to the transport system
COG1119,ATPase activity
COG1120,ATPase activity
COG1121,(ABC) transporter
COG1122,ATPase activity
COG1125,glycine betaine transport
COG1126,abc transporter atp-binding protein
COG1127,ABC transporter
COG1129,ABC transporter
COG1131,(ABC) transporter
COG1132,(ABC) transporter
COG1134,teichoic acid transport
COG1135,Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system
COG1136,(ABC) transporter
COG1137,ATPase activity
COG1138,Cytochrome C-type biogenesis protein
COG1139,Iron-sulfur cluster binding protein
COG1141,Ferredoxin
COG1143,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
COG1145,4fe-4S ferredoxin, iron-sulfur binding domain protein
COG1146,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
COG1149,4fe-4S ferredoxin, iron-sulfur binding domain protein
COG1151,hydroxylamine reductase activity
COG1154,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
COG1157,protein secretion by the type III secretion system
COG1158,Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template
COG1159,An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
COG1160,GTP binding
COG1161,Required for a late step of 50S ribosomal subunit assembly. Has GTPase activity
COG1162,GTPase activity
COG1164,Oligoendopeptidase f
COG1165,Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC)
COG1166,arginine decarboxylase activity
COG1167,Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain MocR family and their eukaryotic orthologs
COG1168,Bifunctional PLP-dependent enzyme with beta-cystaTHIonase and maltose regulon repressor activities
COG1169,isochorismate synthase
COG1171,Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA
COG1172,Belongs to the binding-protein-dependent transport system permease family
30YXC,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components
COG1173,ABC-type dipeptide oligopeptide nickel transport systems, permease components
COG1174,glycine betaine transport
COG1175,transmembrane transport
COG1176,ABC-type spermidine putrescine transport system, permease component I
COG1177,transmembrane transport
COG1178,ABC-type Fe3 transport system permease component
COG1179,involved in molybdopterin and THIamine biosynthesis family 1
COG1180,Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine
COG1181,Belongs to the D-alanine--D-alanine ligase family
COG1182,Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
COG1183,phosphatidylcholine synthase activity
COG1185,polyribonucleotide nucleotidyltransferase activity
COG1186,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
COG1187,pseudouridine synthase activity
COG1188,Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit, (S4 paralog))
COG1189,Ribosomal RNA methyltransferase RrmJ FtsJ
COG1190,Belongs to the class-II aminoacyl-tRNA synthetase family
COG1191,sigma factor activity
2ZARU,COG1192 ATPases involved in chromosome partitioning
COG1192,Involved in chromosome partitioning
COG1193,negative regulation of DNA recombination
COG1194,a g-specific adenine glycosylase
COG1195,it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP
32BXW,COG1196 Chromosome segregation ATPases
COG1196,nuclear chromosome segregation
COG1197,Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site
COG1198,Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA
COG1199,ATP-dependent helicase activity
COG1200,Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)
COG1201,RNA secondary structure unwinding
COG1203,CRISPR-associated helicase, Cas3
COG1205,dead DEAH box helicase
COG1206,Catalyzes the folate-dependent formation of 5-methyl- uridine at position 54 (M-5-U54) in all tRNAs
COG1207,Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain
COG1208,COG1208 Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis translation initiation factor 2B, gamma epsilon subunits eIF-2Bgamma eIF-2Bepsilon
COG1209,Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis
COG1210,Utp--glucose-1-phosphate uridylyltransferase
COG1211,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
COG1212,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria
COG1214,PFAM Peptidase M22, glycoprotease
COG1215,transferase activity, transferring glycosyl groups
COG1216,Glycosyl transferase, family 2
COG1217,gtp-binding protein TYPA
COG1218,3'(2'),5'-bisphosphate nucleotidase
COG1219,ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP
COG1220,this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
COG1225,Alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
31669,COG1226 Kef-type K transport systems
321C0,COG1226 Kef-type K transport systems
32ZVN,COG1226 Kef-type K transport systems
335KC,COG1226 Kef-type K transport systems
COG1226,(belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family)
COG1227,inorganic diphosphatase activity
COG1228,amidohydrolase
COG1230,cation diffusion facilitator family transporter
COG1231,oxidoreductase activity
COG1232,Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX
COG1233,COG1233 Phytoene dehydrogenase and related
COG1234,tRNA 3'-trailer cleavage
COG1235,May be involved in the transport of PQQ or its precursor to the periplasm
COG1236,Exonuclease of the beta-lactamase fold involved in RNA processing
COG1238,metal cluster binding
COG1239,Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
COG1240,Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
COG1242,4 iron, 4 sulfur cluster binding
COG1246,Belongs to the acetyltransferase family. ArgA subfamily
COG1247,-acetyltransferase
COG1249,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
COG1250,3-hydroxyacyl-CoA dehydrogenase
COG1251,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family
COG1252,NADH dehydrogenase
COG1253,flavin adenine dinucleotide binding
COG1254,Belongs to the acylphosphatase family
COG1256,bacterial-type flagellum assembly
COG1259,PFAM Uncharacterised ACR, COG1259
COG1261,Involved in the assembly process of the P-ring formation. It may associate with FlgF on the rod constituting a structure essential for the P-ring assembly or may act as a modulator protein for the P-ring assembly
COG1262,PFAM Formylglycine-generating sulfatase enzyme
COG1263,PTS System
COG1264,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
COG1266,CAAX protease self-immunity
COG1267,Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)
COG1268,BioY protein
COG1269,ATP hydrolysis coupled proton transport
COG1270,Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group
COG1271,oxidase subunit
COG1272,protein, Hemolysin III
COG1273,With LigD forms a non-homologous end joining (NHEJ) DNA repair enzyme, which repairs dsDNA breaks with reduced fidelity. Binds linear dsDNA with 5'- and 3'- overhangs but not closed circular dsDNA nor ssDNA. Recruits and stimulates the ligase activity of LigD
COG1274,phosphoenolpyruvate carboxykinase (GTP) activity
COG1275,C4-dicarboxylate transporter malic acid transport protein
COG1276,copper resistance
2Z8RP,COG1277 ABC-type transport system involved in multi-copper enzyme maturation, permease component
2ZASQ,COG1277 ABC-type transport system involved in multi-copper enzyme maturation, permease component
3184I,COG1277 ABC-type transport system involved in multi-copper enzyme maturation, permease component
COG1277,ABC-type transport system involved in multi-copper enzyme maturation permease component
COG1278,Cold shock
COG1279,arginine transmembrane transporter activity
COG1280,lysine exporter protein (LysE YggA)
COG1281,Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress
COG1282,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane
COG1283,sodium-dependent phosphate transmembrane transporter activity
COG1284,Uncharacterised 5xTM membrane BCR, YitT family COG1284
COG1285,pathogenesis
COG1286,toxin biosynthetic process
COG1289,transmembrane transporter activity
COG1290,Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
COG1291,archaeal or bacterial-type flagellum-dependent cell motility
COG1292,Belongs to the BCCT transporter (TC 2.A.15) family
COG1293,RNA-binding protein homologous to eukaryotic snRNP
COG1294,oxidase, subunit
COG1295,ribonuclease BN
COG1296,Branched-chain amino acid permease (Azaleucine resistance)
COG1298,Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin
COG1299,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
COG1300,Membrane
COG1301,dicarboxylic acid transport
COG1302,Protein conserved in bacteria
COG1304,FMN binding
COG1305,Transglutaminase-like
COG1307,EDD domain protein, DegV family
COG1309,transcriptional regulator
COG1310,metal-dependent protease of the Pad1 Jab1 superfamily
COG1312,Catalyzes the dehydration of D-mannonate
COG1314,P-P-bond-hydrolysis-driven protein transmembrane transporter activity
COG1316,TRANSCRIPTIONal
COG1317,bacterial-type flagellum organization
COG1319,Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM
COG1320,monovalent cation:proton antiporter activity
COG1321,iron dependent repressor
COG1322,Protein conserved in bacteria
COG1323,Belongs to the UPF0348 family
COG1324,tolerance protein
COG1327,Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes
COG1328,CTP reductase activity
COG1329,Transcriptional regulator
COG1330,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit recognizes the wild- type Chi sequence, and when added to isolated RecB increases its ATP-dependent helicase processivity
COG1331,Highly conserved protein containing a thioredoxin domain
COG1333,cytochrome c biogenesis protein
COG1334,flagellar protein FlaG
COG1335,isochorismatase
COG1338,Plays a role in the flagellum-specific transport system
COG1343,CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette
COG1344,Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
COG1345,Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end
COG1346,cytolysis
COG1349,DNA-binding transcription factor activity
COG1351,Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NAD(P)H and FADH(2) as the reductant
COG1352,Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP
COG1354,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves
COG1357,PFAM Pentapeptide repeats (8 copies)
COG1358,cellular component organization or biogenesis
COG1359,(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity
COG1360,Flagellar Motor Protein
COG1361,Conserved repeat domain
COG1362,aminopeptidase activity
COG1363,Peptidase, m42
COG1364,Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate
32V9Y,COG1366 Anti-anti-sigma regulatory factor antagonist of anti-sigma factor
COG1366,Belongs to the anti-sigma-factor antagonist family
COG1368,sulfuric ester hydrolase activity
COG1373,ATPase (AAA superfamily
COG1376,ErfK ybiS ycfS ynhG family protein
COG1377,Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin
COG1380,Effector of murein hydrolase LrgA
COG1381,Involved in DNA repair and RecF pathway recombination
COG1385,rRNA (uridine-N3-)-methyltransferase activity
COG1386,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves
COG1387,Histidinol phosphatase and related hydrolases of the PHP family
COG1388,LysM domain
COG1391,[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
COG1392,Phosphate transport regulator
COG1393,Belongs to the ArsC family
COG1396,sequence-specific DNA binding
COG1397,ADP-ribosylglycohydrolase
COG1398,Fatty acid desaturase
COG1399,metal-binding, possibly nucleic acid-binding protein
COG1401,restriction endodeoxyribonuclease activity
COG1402,creatininase
COG1403,HNH endonuclease
COG1404,Belongs to the peptidase S8 family
COG1408,metallophosphoesterase
COG1409,Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes
COG1410,methionine synthase
COG1413,lyase activity
COG1414,Transcriptional regulator
COG1418,mRNA catabolic process
COG1419,protein localization to endoplasmic reticulum
COG1420,regulation of RNA biosynthetic process
COG1426,Protein conserved in bacteria
COG1428,Deoxynucleoside kinase
COG1429,ligase activity, forming nitrogen-metal bonds
COG1430,acr, cog1430
COG1432,Conserved Protein
COG1433,Dinitrogenase iron-molybdenum cofactor
COG1434,Gram-negative-bacterium-type cell wall biogenesis
COG1435,thymidine kinase activity
COG1438,arginine binding
COG1442,glycosyl transferase family 8
COG1443,Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP)
COG1445,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
COG1446,asparaginase
COG1448,Aminotransferase
COG1450,Type ii and iii secretion system protein
COG1451,nucleotide metabolic process
COG1452,involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane
COG1454,alcohol dehydrogenase
COG1457,Belongs to the purine-cytosine permease (2.A.39) family
COG1459,type II secretion system
COG1461,Dihydroxyacetone kinase
COG1463,ABC-type transport system involved in resistance to organic solvents, periplasmic component
COG1464,Belongs to the NlpA lipoprotein family
COG1466,dna polymerase III delta subunit
COG1468,defense response to virus
COG1470,cell adhesion involved in biofilm formation
COG1472,Belongs to the glycosyl hydrolase 3 family
COG1473,amidohydrolase
COG1475,DNA binding
COG1476,TRANSCRIPTIONal
COG1477,protein flavinylation
COG1479,Protein of unknown function DUF262
COG1480,7TM receptor with intracellular HD hydrolase
COG1481,regulation of sporulation
COG1482,cell wall glycoprotein biosynthetic process
COG1484,DNA-dependent DNA replication
COG1485,Reduces the stability of FtsZ polymers in the presence of ATP
COG1486,melibiose metabolic process
COG1487,ribonuclease activity
COG1488,Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP
COG1489,DNA binding
COG1490,D-aminoacyl-tRNA deacylase activity
COG1492,cobalamin metabolic process
COG1493,Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion
COG1494,fructose-1,6-bisphosphatase
COG1495,Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein
COG1496,oxidoreductase activity
COG1501,Belongs to the glycosyl hydrolase 31 family
COG1502,Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
COG1505,serine-type exopeptidase activity
COG1506,peptidase
COG1508,bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding
COG1509,lysine 2,3-aminomutase activity
COG1510,regulation of RNA biosynthetic process
COG1511,domain protein
COG1512,COG1512 Beta-propeller domains of methanol dehydrogenase type
COG1514,Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester
COG1516,flagellar protein fliS
COG1518,maintenance of DNA repeat elements
COG1519,Transferase
COG1520,Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
COG1521,Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
COG1522,sequence-specific DNA binding
COG1523,belongs to the glycosyl hydrolase 13 family
COG1524,type I phosphodiesterase nucleotide pyrophosphatase
COG1525,nuclease
COG1526,Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH
COG1528,Iron-storage protein
COG1529,Aldehyde oxidase and xanthine dehydrogenase
COG1530,ribonuclease E activity
COG1533,DNA photolyase activity
COG1534,Rna-binding protein
COG1536,FliG is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation
COG1538,Outer membrane efflux protein
COG1539,Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin
COG1540,5-oxoprolinase (ATP-hydrolyzing) activity
COG1541,Catalyzes the activation of phenylacetic acid (PA) to phenylacetyl-CoA (PA-CoA)
COG1544,Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase
COG1546,Belongs to the CinA family
315N9,COG1551 Carbon storage regulator (could also regulate swarming and quorum sensing)
COG1551,Could accelerate the degradation of some genes transcripts potentially through selective RNA binding
COG1554,hydrolase, family 65, central catalytic
COG1555,photosystem II stabilization
COG1556,Lactate utilization protein
COG1558,bacterial-type flagellum-dependent cell motility
COG1559,Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation
COG1560,Kdo2-lipid A biosynthetic process
COG1561,YicC-like family, N-terminal region
COG1562,ergosterol biosynthetic process
COG1564,THIamine pyrophosphokinase
COG1565,acr, cog1565
COG1566,PFAM secretion protein HlyD family protein
COG1570,exodeoxyribonuclease VII activity
COG1572,bacterial-type flagellum-dependent cell motility
COG1573,uracil-dna glycosylase
COG1574,metal-dependent hydrolase with the TIM-barrel fold
COG1575,Belongs to the MenA family. Type 1 subfamily
COG1576,Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
COG1579,Zn-ribbon protein possibly nucleic acid-binding
COG1580,Controls the rotational direction of flagella during chemotaxis
COG1585,Membrane protein implicated in regulation of membrane protease activity
COG1586,Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine
COG1587,Uroporphyrinogen-III synthase
COG1589,Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly
COG1592,Rubrerythrin
COG1593,TRAP-type C4-dicarboxylate transport system, large permease component
COG1595,DNA-templated transcription, initiation
COG1596,polysaccharide export
COG1597,lipid kinase activity
COG1598,PFAM Uncharacterised protein family UPF0150
COG1600,Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)
COG1605,Chorismate mutase
COG1607,acyl-coa hydrolase
COG1609,Transcriptional regulator
COG1610,YqeY-like protein
COG1611,Belongs to the LOG family
COG1612,heme a metabolic process
COG1613,Sulfate ABC transporter periplasmic sulfate-binding protein
COG1615,UPF0182 protein
COG1619,proteins homologs of microcin C7 resistance protein MccF
COG1620,l-lactate permease
COG1621,beta-fructofuranosidase activity
COG1622,oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
COG1624,Catalyzes the condensation of 2 ATP molecules into cyclic di-AMP (c-di-AMP), a second messenger used to regulate differing processes in different bacteria
33Q0S,COG1629 Outer membrane receptor proteins, mostly Fe transport
COG1629,transport
COG1633,Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)
COG1636,Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)
COG1637,Cleaves both 3' and 5' ssDNA extremities of branched DNA structures
COG1638,TRAP-type C4-dicarboxylate transport system periplasmic component
COG1640,4-alpha-glucanotransferase
COG1643,Atp-dependent helicase
COG1647,Serine aminopeptidase, S33
COG1648,precorrin-2 dehydrogenase activity
COG1649,PFAM Uncharacterised BCR, COG1649
COG1651,Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
COG1652,LysM domain
COG1653,transport
COG1654,Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a biotin-operon repressor. In the presence of ATP, BirA activates biotin to form the BirA-biotinyl-5'-adenylate (BirA-bio- 5'-AMP or holoBirA) complex. HoloBirA can either transfer the biotinyl moiety to the biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase, or bind to the biotin operator site and inhibit transcription of the operon
COG1657,PFAM Prenyltransferase squalene oxidase
COG1660,Displays ATPase and GTPase activities
COG1663,tetraacyldisaccharide 4'-kinase activity
COG1664,Polymer-forming cytoskeletal
COG1666,GTP binding
COG1668,transmembrane transport
COG1669,hydrolase activity, acting on ester bonds
349CY,COG1670 acetyltransferases, including N-acetylases of ribosomal proteins
COG1670,COG1670 acetyltransferases, including N-acetylases of ribosomal proteins
COG1671,Belongs to the UPF0178 family
COG1672,PFAM Archaeal ATPase
COG1674,ftsk spoiiie
COG1677,Flagellar hook-basal body complex protein FliE
COG1678,Uncharacterized ACR, COG1678
COG1680,COG1680 Beta-lactamase class C and other penicillin binding
COG1682,transport, permease protein
COG1683,Conserved Protein
COG1684,flagellar biosynthetic protein fliR
COG1686,Belongs to the peptidase S11 family
COG1690,Belongs to the RtcB family
COG1692,metallophosphoesterase
COG1694,Mazg nucleotide pyrophosphohydrolase
COG1695,Transcriptional regulator
COG1696,Membrane protein involved in D-alanine export
COG1702,phosphate starvation-inducible protein PhoH
COG1703,isobutyryl-CoA mutase activity
COG1704,LemA family
COG1705,Flagellar rod assembly protein muramidase FlgJ
COG1706,bacterial-type flagellum-dependent cell motility
COG1708,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
COG1713,HD superfamily hydrolase involved in NAD metabolism
COG1714,RDD family
COG1716,ATPase activity
COG1718,Serine threonine protein kinase involved in cell cycle control
COG1720,tRNA m6t6A37 methyltransferase activity
COG1721,protein (some members contain a von Willebrand factor type A (vWA) domain
COG1722,exodeoxyribonuclease VII activity
COG1725,Transcriptional regulator
COG1729,Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division
COG1732,Glycine betaine
COG1733,regulation of RNA biosynthetic process
COG1734,Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters
COG1737,Transcriptional regulator
COG1738,Involved in the import of queuosine (Q) precursors, required for Q precursor salvage
COG1739,Uncharacterized protein family UPF0029
COG1741,Belongs to the pirin family
COG1742,UPF0060 membrane protein
COG1744,ABC transporter substrate-binding protein PnrA-like
COG1748,Saccharopine dehydrogenase
32R3A,COG1749 Flagellar hook protein FlgE
COG1749,Flagellar hook protein flgE
COG1752,Esterase of the alpha-beta hydrolase superfamily
COG1754,DNA topoisomerase type I activity
COG1757,Na H antiporter
COG1758,RNA polymerase activity
COG1760,l-serine dehydratase
308I3,COG1762 Phosphotransferase system mannitol fructose-specific IIA domain (Ntr-type)
COG1762,phosphoenolpyruvate-dependent sugar phosphotransferase system
COG1763,Mo-molybdopterin cofactor biosynthetic process
COG1764,response to oxidative stress
COG1765,OsmC-like protein
COG1766,The M ring may be actively involved in energy transduction
COG1770,oligopeptidase
COG1773,rubredoxin
COG1774,PSP1 C-terminal conserved region
COG1776,CheC inhibitor of MCP methylation
COG1778,Involved in the biosynthesis of lipopolysaccharides (LPSs). Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate
COG1780,Probably involved in ribonucleotide reductase function
